Actual,Predicted,Lower_Bound,Upper_Bound,Block1_Attn,Block2_Attn,Block3_Attn,Block4_Attn,Block5_Attn
6380.5,6304.590234988057,6284.20978744562,6324.970682530493,0.1889927929163694,0.20593709365339433,0.1657866300021237,0.20979142397872605,0.22949205715446597
8025.1,8003.733991780182,7999.237880495869,8008.230103064495,0.24430001121186834,0.7120734735910595,0.001012329357466736,0.0032986564504236308,0.0393155222684469
6110.5,6131.451446923178,6126.374649469282,6136.528244377075,0.30536355143150656,0.644711559514251,0.0008884172977689236,0.004166090393257995,0.044870374916099964
7725.1,7704.1906508435095,7698.942476171509,7709.438825515511,0.25831128654863494,0.6804433643972301,0.0016636532594833408,0.00424465767362137,0.055337031316596626
6050.2,6015.179835877827,5611.984727629263,6418.374944126392,0.3925475655935507,0.5327325414226168,0.0018468840961544512,0.005022562949951151,0.06785044061040145
5990.4,6002.639234540078,5999.156332321227,6006.12213675893,1.604540140606299e-54,5.10171866308311e-07,0.35046901805724356,0.23111303134141045,0.4184174362453052
3800.9,10757.918505199652,8687.457328168199,12828.379682231105,3.1284735824246975e-54,5.224518171641757e-07,0.3511814047899869,0.2269198700167301,0.42189819852248395
5700.5,5677.266468198328,5653.448169767775,5701.084766628883,0.00785928671348225,3.034688369027986e-11,0.0004720607718862683,0.9908166983894587,0.000851944186659013
8500.0,8446.593308460182,8433.3466943718,8459.839922548563,0.007861019477023407,3.035503344107223e-11,0.0004721233418466507,0.9908147014601568,0.0008521457824709909
8000.0,7976.826154505092,7959.193839811524,7994.45846919866,0.007860326611554133,3.042769308714857e-11,0.00047232259252889407,0.9908143107856289,0.0008530300717174243
